province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
lampung,2019,27.256626506024098,81.32228915662651,8.048596571867957,7.028821806961581,6.902943721984915,5.358471289367784,6.679724806094533,26.822222222222223,27.051063829787235,26.946052631578947,28.081111111111113,2164089330,4663,464103.42,2216.5712621570624,1.7342247923306695e-05,0,True,False,False,False,False,False,False,False,True
lampung,2020,27.25822306238185,84.79962192816635,8.777293356281943,8.022437747827741,7.15305163493748,6.812675072731867,7.132816989452251,27.462566844919785,27.26818181818182,26.934065934065934,27.188652482269504,2650289640,4862,545149.05,2311.4870101236056,1.6100722098150837e-05,0,True,False,False,False,False,False,False,False,True
maluku,2018,26.974131944444444,85.33420138888889,9.223888184521451,7.894839926156371,8.255698548718104,7.68662133494462,7.263679941530166,27.485039370078738,26.777604166666666,26.033463035019455,27.703501945525293,116228860,4001,29052.14,2301.816007637683,0.0003174942768879163,0,True,False,False,False,False,False,True,False,False
maluku,2019,26.895684803001874,85.36960600375235,9.041779698432265,7.907320414049012,8.239831018482409,6.803727208558089,6.9513893160021984,27.51309090909091,26.929999999999996,25.373640167364016,27.65330578512397,98254750,3782,25976.85,2296.07401483338,0.00034807067427157485,0,True,False,False,False,False,False,True,False,False
maluku,2020,27.421144674085852,85.55405405405405,9.397997668359656,7.894877191616883,8.116417072794205,8.125808487516077,7.88386089315745,28.17982954545454,27.33095238095238,26.2064406779661,27.73871866295265,110447300,3853,28668.22,2345.9900936707772,0.0003278193646163404,0,True,False,False,False,False,False,True,False,False
maluku utara,2018,26.937060998151573,84.45656192236599,8.834336974017637,7.738880202483985,7.656715524361295,6.877089864671252,7.305524180455831,26.90671140939597,26.763178294573642,26.8011320754717,27.2816091954023,49047110,3657,13412.75,2275.0115601969383,0.0006586521755367926,0,True,False,False,False,False,False,True,False,False
maluku utara,2019,26.876705141657922,83.69150052465898,8.414384971434556,7.23396070610467,7.392585942471042,6.540163823302054,6.700115914203892,26.942023346303504,27.148846153846154,26.18820754716981,27.1375,37945640,3243,11700.5,2249.3517824641685,0.000719147469274226,0,True,False,False,False,False,False,True,False,False
maluku utara,2020,26.812198221092757,87.12325285895807,8.64773010506043,6.8121250479668864,7.301215279962869,7.425834531459436,7.396641995229374,27.18140703517588,26.972631578947368,26.22696629213483,26.813181818181818,43382850,4211,10301.91,2335.96592532077,0.0008394297850268671,0,True,False,False,False,False,False,True,False,False
nusa tenggara barat,2018,27.1890243902439,79.16260162601625,8.03670276744632,7.550871525936517,4.59511985013459,3.7328963395307104,6.958638489296707,26.641361256544503,27.280232558139534,26.49281767955801,28.296907216494848,1460338810,5049,289242.59,2152.3539064049173,2.778533675544969e-05,0,True,False,False,True,False,False,False,False,False
nusa tenggara barat,2019,27.080183276059564,78.17754868270332,8.08717921038666,7.699208148326206,6.113018242660559,2.424802725718295,6.373149126550743,27.02943925233645,26.726785714285715,25.8681592039801,28.505982905982904,1402182390,4978,281666.04,2117.062346400675,2.8711942732249656e-05,0,True,False,False,True,False,False,False,False,False
nusa tenggara barat,2020,27.44083832335329,80.03952095808383,8.270294712747413,7.611248751596227,6.225745842832648,2.6946271807700692,7.221031996095399,27.608962264150946,27.40232558139535,26.66524064171123,27.973303167420816,1317189810,4817,273460.82,2196.3515540894255,3.0243069966823698e-05,0,True,False,False,True,False,False,False,False,False
nusa tenggara timur,2018,26.989098173515984,80.33162100456622,9.280910665345473,8.777663355515333,6.69369534640097,5.771441123130016,8.045011191242452,26.571327433628316,27.158021390374333,26.14844192634561,28.01,899935880,4124,218232.91,2168.078005729916,4.252754850274506e-05,0,True,False,False,True,False,False,False,False,False
